glyph,description
t͈ː,long fortis voiceless alveolar stop consonant
t͉,lenis voiceless alveolar stop consonant
t͉s,lenis voiceless alveolar sibilant affricate consonant
t͉ʲ,lenis voiceless palatalized alveolar stop consonant
u,voiced rounded close back vowel
ua,LATIN SMALL LETTER U and LATIN SMALL LETTER A
uai,LATIN SMALL LETTER U and LATIN SMALL LETTER A and LATIN SMALL LETTER I
uaː,LATIN SMALL LETTER U and LATIN SMALL LETTER A and MODIFIER LETTER TRIANGULAR COLON
uã,LATIN SMALL LETTER U and LATIN SMALL LETTER A and COMBINING TILDE
uãː,LATIN SMALL LETTER U and LATIN SMALL LETTER A and COMBINING TILDE and MODIFIER LETTER TRIANGULAR COLON
ue,LATIN SMALL LETTER U and LATIN SMALL LETTER E
uei,LATIN SMALL LETTER U and LATIN SMALL LETTER E and LATIN SMALL LETTER I
uẽ,LATIN SMALL LETTER U and LATIN SMALL LETTER E and COMBINING TILDE
ui,LATIN SMALL LETTER U and LATIN SMALL LETTER I
ui̯,LATIN SMALL LETTER U and LATIN SMALL LETTER I and COMBINING INVERTED BREVE BELOW
uj,LATIN SMALL LETTER U and LATIN SMALL LETTER J
uo,LATIN SMALL LETTER U and LATIN SMALL LETTER O
uy,LATIN SMALL LETTER U and LATIN SMALL LETTER Y
uɔ,LATIN SMALL LETTER U and LATIN SMALL LETTER OPEN O
uə,LATIN SMALL LETTER U and LATIN SMALL LETTER SCHWA
uɛ,LATIN SMALL LETTER U and LATIN SMALL LETTER OPEN E
uɨ,LATIN SMALL LETTER U and LATIN SMALL LETTER I WITH STROKE
uɪ,LATIN SMALL LETTER U and LATIN LETTER SMALL CAPITAL I
uʌ,LATIN SMALL LETTER U and LATIN SMALL LETTER TURNED V
uʰ,aspirated voiced rounded close back vowel
uˀ,voiced glottalized rounded close back vowel
uː,long voiced rounded close back vowel
uːa,LATIN SMALL LETTER U and MODIFIER LETTER TRIANGULAR COLON and LATIN SMALL LETTER A
uːʌ,LATIN SMALL LETTER U and MODIFIER LETTER TRIANGULAR COLON and LATIN SMALL LETTER TURNED V
uˑ,half-long voiced rounded close back vowel
u˞,voiced rhotacized rounded close back vowel
uˤ,voiced pharyngealized rounded close back vowel
uˤː,long voiced pharyngealized rounded close back vowel
ũ,voiced nasalized rounded close back vowel
ũĩ,LATIN SMALL LETTER U and COMBINING TILDE and LATIN SMALL LETTER I and COMBINING TILDE
ũə,LATIN SMALL LETTER U and COMBINING TILDE and LATIN SMALL LETTER SCHWA
ũː,long voiced nasalized rounded close back vowel
ũˤ,voiced nasalized pharyngealized rounded close back vowel
ŭ,extra-short voiced rounded close back vowel
ŭ̃,extra-short voiced nasalized rounded close back vowel
ü,voiced centralized rounded close back vowel
üː,long voiced centralized rounded close back vowel
u̘,voiced advanced-tongue-root rounded close back vowel
u̙,voiced retracted-tongue-root rounded close back vowel
u̜,LATIN SMALL LETTER U and COMBINING LEFT HALF RING BELOW
u̞,voiced lowered rounded close back vowel
u̞ː,long voiced lowered rounded close back vowel
ṳ,breathy rounded close back vowel
ṳa,LATIN SMALL LETTER U and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER A
ṳa̤,LATIN SMALL LETTER U and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER A and COMBINING DIAERESIS BELOW
ṳi̤,LATIN SMALL LETTER U and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER I and COMBINING DIAERESIS BELOW
ṳə̤,LATIN SMALL LETTER U and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER SCHWA and COMBINING DIAERESIS BELOW
ṳː,long breathy rounded close back vowel
ṳˑ,half-long breathy rounded close back vowel
u̥,voiceless rounded close back vowel
ṵ,creaky rounded close back vowel
ṵ̃,creaky nasalized rounded close back vowel
u͓,LATIN SMALL LETTER U and COMBINING X BELOW
uᴱ,LATIN SMALL LETTER U and MODIFIER LETTER CAPITAL E
v,voiced labiodental fricative consonant
vɾ,LATIN SMALL LETTER V and LATIN SMALL LETTER R WITH FISHHOOK
vʱ,breathy labiodental fricative consonant
vʲ,voiced palatalized labiodental fricative consonant
vʷ,voiced labialized labiodental fricative consonant
vː,long voiced labiodental fricative consonant
ṽ,voiced nasalized labiodental fricative consonant
v̤,breathy labiodental fricative consonant
v̩,syllabic voiced labiodental fricative consonant
w,#NAME ERROR#
wa,LATIN SMALL LETTER W and LATIN SMALL LETTER A
wai̯,LATIN SMALL LETTER W and LATIN SMALL LETTER A and LATIN SMALL LETTER I and COMBINING INVERTED BREVE BELOW
we,LATIN SMALL LETTER W and LATIN SMALL LETTER E
wei̯,LATIN SMALL LETTER W and LATIN SMALL LETTER E and LATIN SMALL LETTER I and COMBINING INVERTED BREVE BELOW
wi,LATIN SMALL LETTER W and LATIN SMALL LETTER I
wo,LATIN SMALL LETTER W and LATIN SMALL LETTER O
wə,LATIN SMALL LETTER W and LATIN SMALL LETTER SCHWA
wʱ,#NAME ERROR#
wʲ,#NAME ERROR#
wʼ,#NAME ERROR#
wˀ,#NAME ERROR#
wː,#NAME ERROR#
w˞,#NAME ERROR#
wˤ,#NAME ERROR#
w̃,#NAME ERROR#
ẅ,#NAME ERROR#
w̞,#NAME ERROR#
w̤,#NAME ERROR#
w̥,#NAME ERROR#
w̰,#NAME ERROR#
x,voiceless velar fricative consonant
xh,LATIN SMALL LETTER X and LATIN SMALL LETTER H
xʲ,voiceless palatalized velar fricative consonant
xʷ,voiceless labialized velar fricative consonant
xʷʼ,LATIN SMALL LETTER X and MODIFIER LETTER SMALL W and MODIFIER LETTER APOSTROPHE
xʷː,long voiceless labialized velar fricative consonant
xʼ,voiceless velar ejective fricative consonant
xː,long voiceless velar fricative consonant
x̟ʲ,voiceless advanced palatalized velar fricative consonant
x̥,voiceless velar fricative consonant
x͈,fortis voiceless velar fricative consonant
x͈ʷ,fortis voiceless labialized velar fricative consonant
x͈ː,long fortis voiceless velar fricative consonant
y,voiced rounded close front vowel
ye,LATIN SMALL LETTER Y and LATIN SMALL LETTER E
yø̞,LATIN SMALL LETTER Y and LATIN SMALL LETTER O WITH STROKE and COMBINING DOWN TACK BELOW
yə,LATIN SMALL LETTER Y and LATIN SMALL LETTER SCHWA
yʼ,LATIN SMALL LETTER Y and MODIFIER LETTER APOSTROPHE
yː,long voiced rounded close front vowel
ỹ,voiced nasalized rounded close front vowel
y̆,extra-short voiced rounded close front vowel
y̤,breathy rounded close front vowel
z,voiced alveolar sibilant fricative consonant
zɾ,LATIN SMALL LETTER Z and LATIN SMALL LETTER R WITH FISHHOOK
zʲ,voiced palatalized alveolar sibilant fricative consonant
zʷ,voiced labialized alveolar sibilant fricative consonant
zˀ,voiced glottalized alveolar sibilant fricative consonant
zː,long voiced alveolar sibilant fricative consonant
zˠ,voiced velarized alveolar sibilant fricative consonant
zˤ,voiced pharyngealized alveolar sibilant fricative consonant
zˤː,long voiced pharyngealized alveolar sibilant fricative consonant
z̃,voiced nasalized alveolar sibilant fricative consonant
z̞̩,syllabic voiced lowered alveolar sibilant fricative consonant
z̞̩ˠ,syllabic voiced lowered velarized alveolar sibilant fricative consonant
z̞̩̃ˠ,syllabic voiced lowered nasalized velarized alveolar sibilant fricative consonant
z̤,breathy alveolar sibilant fricative consonant
z̥,voiceless alveolar sibilant fricative consonant
z̩,syllabic voiced alveolar sibilant fricative consonant
z̪,voiced dental alveolar sibilant fricative consonant
z̪ʲ,voiced dental palatalized alveolar sibilant fricative consonant
z̪ʷ,voiced dental labialized alveolar sibilant fricative consonant
z̪ː,long voiced dental alveolar sibilant fricative consonant
z̪ˤ,voiced dental pharyngealized alveolar sibilant fricative consonant
z̺,voiced apical alveolar sibilant fricative consonant
z̻,voiced laminal alveolar sibilant fricative consonant
z͇,LATIN SMALL LETTER Z and COMBINING EQUALS SIGN BELOW
z͇̪,LATIN SMALL LETTER Z and COMBINING EQUALS SIGN BELOW and COMBINING BRIDGE BELOW
z͈ː,long fortis voiced alveolar sibilant fricative consonant
æ,voiced unrounded near-open front vowel
æe,LATIN SMALL LETTER AE and LATIN SMALL LETTER E
æe̯,LATIN SMALL LETTER AE and LATIN SMALL LETTER E and COMBINING INVERTED BREVE BELOW
æẽ̯,LATIN SMALL LETTER AE and LATIN SMALL LETTER E and COMBINING INVERTED BREVE BELOW and COMBINING TILDE
æi,LATIN SMALL LETTER AE and LATIN SMALL LETTER I
æu,LATIN SMALL LETTER AE and LATIN SMALL LETTER U
æɪ,LATIN SMALL LETTER AE and LATIN LETTER SMALL CAPITAL I
æʉ,LATIN SMALL LETTER AE and LATIN SMALL LETTER U BAR
æː,long voiced unrounded near-open front vowel
æˤ,voiced pharyngealized unrounded near-open front vowel
æ̃,voiced nasalized unrounded near-open front vowel
æ̃ː,long voiced nasalized unrounded near-open front vowel
æ̞̃,voiced lowered nasalized unrounded near-open front vowel
æ̤,breathy unrounded near-open front vowel
æ̤ː,long breathy unrounded near-open front vowel
ð,voiced dental fricative consonant
ðʲ,voiced palatalized dental fricative consonant
ðː,long voiced dental fricative consonant
ðˠ,voiced velarized dental fricative consonant
ðˤ,voiced pharyngealized dental fricative consonant
ð̞,voiced lowered dental fricative consonant
ð͉,lenis voiced dental fricative consonant
ø,voiced rounded close-mid front vowel
øy,LATIN SMALL LETTER O WITH STROKE and LATIN SMALL LETTER Y
øɘ,LATIN SMALL LETTER O WITH STROKE and LATIN SMALL LETTER REVERSED E
øː,long voiced rounded close-mid front vowel
ø̆,extra-short voiced rounded close-mid front vowel
ø̞,voiced lowered rounded close-mid front vowel
ø̞ː,long voiced lowered rounded close-mid front vowel
ø̞ˤ,voiced lowered pharyngealized rounded close-mid front vowel
ø̠,voiced retracted rounded close-mid front vowel
ħ,voiceless pharyngeal fricative consonant
ħʷ,voiceless labialized pharyngeal fricative consonant
ħː,long voiceless pharyngeal fricative consonant
ħ͈ː,long fortis voiceless pharyngeal fricative consonant
ŋ,voiced velar nasal stop consonant
ŋb,LATIN SMALL LETTER ENG and LATIN SMALL LETTER B
ŋh,LATIN SMALL LETTER ENG and LATIN SMALL LETTER H
ŋhʲ,LATIN SMALL LETTER ENG and LATIN SMALL LETTER H and MODIFIER LETTER SMALL J
ŋhʷ,LATIN SMALL LETTER ENG and LATIN SMALL LETTER H and MODIFIER LETTER SMALL W
ŋhᶣ,LATIN SMALL LETTER ENG and LATIN SMALL LETTER H and MODIFIER LETTER SMALL TURNED H
ŋk,LATIN SMALL LETTER ENG and LATIN SMALL LETTER K
ŋkx,LATIN SMALL LETTER ENG and LATIN SMALL LETTER K and LATIN SMALL LETTER X
ŋkɾ,LATIN SMALL LETTER ENG and LATIN SMALL LETTER K and LATIN SMALL LETTER R WITH FISHHOOK
ŋkʰ,LATIN SMALL LETTER ENG and LATIN SMALL LETTER K and MODIFIER LETTER SMALL H
ŋkʲ,LATIN SMALL LETTER ENG and LATIN SMALL LETTER K and MODIFIER LETTER SMALL J
ŋkʷ,LATIN SMALL LETTER ENG and LATIN SMALL LETTER K and MODIFIER LETTER SMALL W
ŋkʼ,LATIN SMALL LETTER ENG and LATIN SMALL LETTER K and MODIFIER LETTER APOSTROPHE
ŋm,LATIN SMALL LETTER ENG and LATIN SMALL LETTER M
ŋmkp,LATIN SMALL LETTER ENG and LATIN SMALL LETTER M and LATIN SMALL LETTER K and LATIN SMALL LETTER P
ŋmkpɾ,LATIN SMALL LETTER ENG and LATIN SMALL LETTER M and LATIN SMALL LETTER K and LATIN SMALL LETTER P and LATIN SMALL LETTER R WITH FISHHOOK
ŋmɡb,LATIN SMALL LETTER ENG and LATIN SMALL LETTER M and LATIN SMALL LETTER SCRIPT G and LATIN SMALL LETTER B
ŋmʲ,LATIN SMALL LETTER ENG and LATIN SMALL LETTER M and MODIFIER LETTER SMALL J
ŋmˤ,LATIN SMALL LETTER ENG and LATIN SMALL LETTER M and MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
ŋǀ,LATIN SMALL LETTER ENG and LATIN LETTER DENTAL CLICK
ŋǀʰ,LATIN SMALL LETTER ENG and LATIN LETTER DENTAL CLICK and MODIFIER LETTER SMALL H
ŋǀ͓,LATIN SMALL LETTER ENG and LATIN LETTER DENTAL CLICK and COMBINING X BELOW
ŋǁ,LATIN SMALL LETTER ENG and LATIN LETTER LATERAL CLICK
ŋǁʼ,LATIN SMALL LETTER ENG and LATIN LETTER LATERAL CLICK and MODIFIER LETTER APOSTROPHE
ŋǁ͓,LATIN SMALL LETTER ENG and LATIN LETTER LATERAL CLICK and COMBINING X BELOW
ŋǂ,LATIN SMALL LETTER ENG and LATIN LETTER ALVEOLAR CLICK
ŋǂ͓ˡ,LATIN SMALL LETTER ENG and LATIN LETTER ALVEOLAR CLICK and COMBINING X BELOW and MODIFIER LETTER SMALL L
ŋǃ,LATIN SMALL LETTER ENG and LATIN LETTER RETROFLEX CLICK
ŋǃʱ,LATIN SMALL LETTER ENG and LATIN LETTER RETROFLEX CLICK and MODIFIER LETTER SMALL H WITH HOOK
ŋǃʼ,LATIN SMALL LETTER ENG and LATIN LETTER RETROFLEX CLICK and MODIFIER LETTER APOSTROPHE
ŋǃ̠,LATIN SMALL LETTER ENG and LATIN LETTER RETROFLEX CLICK and COMBINING MINUS SIGN BELOW
ŋɡ,LATIN SMALL LETTER ENG and LATIN SMALL LETTER SCRIPT G
ŋɡmb,LATIN SMALL LETTER ENG and LATIN SMALL LETTER SCRIPT G and LATIN SMALL LETTER M and LATIN SMALL LETTER B
ŋɡʲ,LATIN SMALL LETTER ENG and LATIN SMALL LETTER SCRIPT G and MODIFIER LETTER SMALL J
ŋɡʷ,LATIN SMALL LETTER ENG and LATIN SMALL LETTER SCRIPT G and MODIFIER LETTER SMALL W
ŋɡː,LATIN SMALL LETTER ENG and LATIN SMALL LETTER SCRIPT G and MODIFIER LETTER TRIANGULAR COLON
ŋɡ̟,LATIN SMALL LETTER ENG and LATIN SMALL LETTER SCRIPT G and COMBINING PLUS SIGN BELOW
ŋɣ,LATIN SMALL LETTER ENG and LATIN SMALL LETTER GAMMA
ŋɣʲ,LATIN SMALL LETTER ENG and LATIN SMALL LETTER GAMMA and MODIFIER LETTER SMALL J
ŋɣʷ,LATIN SMALL LETTER ENG and LATIN SMALL LETTER GAMMA and MODIFIER LETTER SMALL W
ŋɣᶣ,LATIN SMALL LETTER ENG and LATIN SMALL LETTER GAMMA and MODIFIER LETTER SMALL TURNED H
ŋɾ,LATIN SMALL LETTER ENG and LATIN SMALL LETTER R WITH FISHHOOK
ŋʘ,LATIN SMALL LETTER ENG and LATIN LETTER BILABIAL CLICK
ŋʱ,breathy velar nasal stop consonant
ŋʲ,voiced palatalized velar nasal stop consonant
ŋʲʷ,voiced palatalized labialized velar nasal stop consonant
ŋʷ,voiced labialized velar nasal stop consonant
ŋˀ,voiced glottalized velar nasal stop consonant
ŋː,long voiced velar nasal stop consonant
ŋːʷ,long voiced labialized velar nasal stop consonant
ŋˑ,half-long voiced velar nasal stop consonant
ŋˤ,voiced pharyngealized velar nasal stop consonant
ŋ̞,voiced lowered velar nasal stop consonant
ŋ̤,breathy velar nasal stop consonant
ŋ̤kʰ,LATIN SMALL LETTER ENG and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER K and MODIFIER LETTER SMALL H
ŋ̤ǀ,LATIN SMALL LETTER ENG and COMBINING DIAERESIS BELOW and LATIN LETTER DENTAL CLICK
ŋ̤ǀ͓,LATIN SMALL LETTER ENG and COMBINING DIAERESIS BELOW and LATIN LETTER DENTAL CLICK and COMBINING X BELOW
ŋ̤ǁ,LATIN SMALL LETTER ENG and COMBINING DIAERESIS BELOW and LATIN LETTER LATERAL CLICK
ŋ̤ǂ,LATIN SMALL LETTER ENG and COMBINING DIAERESIS BELOW and LATIN LETTER ALVEOLAR CLICK
ŋ̤ǂ͓ˡ,LATIN SMALL LETTER ENG and COMBINING DIAERESIS BELOW and LATIN LETTER ALVEOLAR CLICK and COMBINING X BELOW and MODIFIER LETTER SMALL L
ŋ̤ǃ,LATIN SMALL LETTER ENG and COMBINING DIAERESIS BELOW and LATIN LETTER RETROFLEX CLICK
ŋ̤ɡǃ,LATIN SMALL LETTER ENG and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER SCRIPT G and LATIN LETTER RETROFLEX CLICK
ŋ̤ɡ̤,LATIN SMALL LETTER ENG and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER SCRIPT G and COMBINING DIAERESIS BELOW
ŋ̤ʱ,breathy velar nasal stop consonant
ŋ̥,voiceless velar nasal stop consonant
ŋ̥m̥,LATIN SMALL LETTER ENG and COMBINING RING BELOW and LATIN SMALL LETTER M and COMBINING RING BELOW
ŋ̥ǀ,LATIN SMALL LETTER ENG and COMBINING RING BELOW and LATIN LETTER DENTAL CLICK
ŋ̥ǀ͓xˀ,LATIN SMALL LETTER ENG and COMBINING RING BELOW and LATIN LETTER DENTAL CLICK and COMBINING X BELOW and LATIN SMALL LETTER X and MODIFIER LETTER GLOTTAL STOP
ŋ̥ǀ͓ʰ,LATIN SMALL LETTER ENG and COMBINING RING BELOW and LATIN LETTER DENTAL CLICK and COMBINING X BELOW and MODIFIER LETTER SMALL H
ŋ̥ǀ͓ˀ,LATIN SMALL LETTER ENG and COMBINING RING BELOW and LATIN LETTER DENTAL CLICK and COMBINING X BELOW and MODIFIER LETTER GLOTTAL STOP
ŋ̥ǁ,LATIN SMALL LETTER ENG and COMBINING RING BELOW and LATIN LETTER LATERAL CLICK
ŋ̥ǁ͓ʰ,LATIN SMALL LETTER ENG and COMBINING RING BELOW and LATIN LETTER LATERAL CLICK and COMBINING X BELOW and MODIFIER LETTER SMALL H
ŋ̥ǁ͓ˀ,LATIN SMALL LETTER ENG and COMBINING RING BELOW and LATIN LETTER LATERAL CLICK and COMBINING X BELOW and MODIFIER LETTER GLOTTAL STOP
ŋ̥ǂ,LATIN SMALL LETTER ENG and COMBINING RING BELOW and LATIN LETTER ALVEOLAR CLICK
ŋ̥ǂxˀ,LATIN SMALL LETTER ENG and COMBINING RING BELOW and LATIN LETTER ALVEOLAR CLICK and LATIN SMALL LETTER X and MODIFIER LETTER GLOTTAL STOP
ŋ̥ǂʰ,LATIN SMALL LETTER ENG and COMBINING RING BELOW and LATIN LETTER ALVEOLAR CLICK and MODIFIER LETTER SMALL H
ŋ̥ǂˀ,LATIN SMALL LETTER ENG and COMBINING RING BELOW and LATIN LETTER ALVEOLAR CLICK and MODIFIER LETTER GLOTTAL STOP
ŋ̥ǂ͓ˡxˀ,LATIN SMALL LETTER ENG and COMBINING RING BELOW and LATIN LETTER ALVEOLAR CLICK and COMBINING X BELOW and MODIFIER LETTER SMALL L and LATIN SMALL LETTER X and MODIFIER LETTER GLOTTAL STOP
ŋ̥ǂ͓ˡʰ,LATIN SMALL LETTER ENG and COMBINING RING BELOW and LATIN LETTER ALVEOLAR CLICK and COMBINING X BELOW and MODIFIER LETTER SMALL L and MODIFIER LETTER SMALL H
ŋ̥ǂ͓ˡˀ,LATIN SMALL LETTER ENG and COMBINING RING BELOW and LATIN LETTER ALVEOLAR CLICK and COMBINING X BELOW and MODIFIER LETTER SMALL L and MODIFIER LETTER GLOTTAL STOP
ŋ̥ǃ,LATIN SMALL LETTER ENG and COMBINING RING BELOW and LATIN LETTER RETROFLEX CLICK
ŋ̥ǃˀ,LATIN SMALL LETTER ENG and COMBINING RING BELOW and LATIN LETTER RETROFLEX CLICK and MODIFIER LETTER GLOTTAL STOP
ŋ̥ǃˠˀ,LATIN SMALL LETTER ENG and COMBINING RING BELOW and LATIN LETTER RETROFLEX CLICK and MODIFIER LETTER SMALL GAMMA and MODIFIER LETTER GLOTTAL STOP
ŋ̥ǃ̠ʰ,LATIN SMALL LETTER ENG and COMBINING RING BELOW and LATIN LETTER RETROFLEX CLICK and COMBINING MINUS SIGN BELOW and MODIFIER LETTER SMALL H
ŋ̥ǃ̠ˀ,LATIN SMALL LETTER ENG and COMBINING RING BELOW and LATIN LETTER RETROFLEX CLICK and COMBINING MINUS SIGN BELOW and MODIFIER LETTER GLOTTAL STOP
ŋ̥ʘ,LATIN SMALL LETTER ENG and COMBINING RING BELOW and LATIN LETTER BILABIAL CLICK
ŋ̥ʲ,voiceless palatalized velar nasal stop consonant
ŋ̥ʷ,voiceless labialized velar nasal stop consonant
ŋ̩,syllabic voiced velar nasal stop consonant
ŋ̩ʷ,syllabic voiced labialized velar nasal stop consonant
ŋ̰,creaky velar nasal stop consonant
ŋ‼,LATIN SMALL LETTER ENG and DOUBLE EXCLAMATION MARK
ŋ‼ʰ,LATIN SMALL LETTER ENG and DOUBLE EXCLAMATION MARK and MODIFIER LETTER SMALL H
œ,voiced rounded open-mid front vowel
œi,LATIN SMALL LIGATURE OE and LATIN SMALL LETTER I
œu,LATIN SMALL LIGATURE OE and LATIN SMALL LETTER U
œy,LATIN SMALL LIGATURE OE and LATIN SMALL LETTER Y
œː,long voiced rounded open-mid front vowel
œ̃,voiced nasalized rounded open-mid front vowel
œ̤,breathy rounded open-mid front vowel
ɐ,voiced unrounded near-open central vowel
ɐi,LATIN SMALL LETTER TURNED A and LATIN SMALL LETTER I
ɐu,LATIN SMALL LETTER TURNED A and LATIN SMALL LETTER U
ɐː,long voiced unrounded near-open central vowel
ɐˤ,voiced pharyngealized unrounded near-open central vowel
ɐ̃,voiced nasalized unrounded near-open central vowel
ɐ̆,extra-short voiced unrounded near-open central vowel
ɐ̹̆,LATIN SMALL LETTER TURNED A and COMBINING RIGHT HALF RING BELOW and COMBINING BREVE
ɑ,voiced unrounded open back vowel
ɑe,LATIN SMALL LETTER ALPHA and LATIN SMALL LETTER E
ɑi,LATIN SMALL LETTER ALPHA and LATIN SMALL LETTER I
ɑo,LATIN SMALL LETTER ALPHA and LATIN SMALL LETTER O
ɑu,LATIN SMALL LETTER ALPHA and LATIN SMALL LETTER U
ɑʊ,LATIN SMALL LETTER ALPHA and LATIN SMALL LETTER UPSILON
ɑː,long voiced unrounded open back vowel
ɑ̃,voiced nasalized unrounded open back vowel
ɑ̃ĩ,LATIN SMALL LETTER ALPHA and COMBINING TILDE and LATIN SMALL LETTER I and COMBINING TILDE
ɑ̃õ,LATIN SMALL LETTER ALPHA and COMBINING TILDE and LATIN SMALL LETTER O and COMBINING TILDE
ɑ̃ɔ̃,LATIN SMALL LETTER ALPHA and COMBINING TILDE and LATIN SMALL LETTER OPEN O and COMBINING TILDE
ɑ̃ː,long voiced nasalized unrounded open back vowel
ɑ̃˞,voiced nasalized rhotacized unrounded open back vowel
ɑ̈,voiced centralized unrounded open back vowel
ɑ̈ː,long voiced centralized unrounded open back vowel
ɑ̝,voiced raised unrounded open back vowel
ɑ̤,breathy unrounded open back vowel
ɑ̤ː,long breathy unrounded open back vowel
ɒ,voiced rounded open back vowel
ɒː,long voiced rounded open back vowel
ɒ̃,voiced nasalized rounded open back vowel
ɒ̃ː,long voiced nasalized rounded open back vowel
ɒ̆,extra-short voiced rounded open back vowel
ɒ̝,voiced raised rounded open back vowel
ɒ̤,breathy rounded open back vowel
ɓ,voiced bilabial implosive stop consonant
ɓʲ,voiced palatalized bilabial implosive stop consonant
ɓʷ,voiced labialized bilabial implosive stop consonant
ɓː,long voiced bilabial implosive stop consonant
ɓ̥,voiceless bilabial implosive stop consonant
ɓ̥ː,long voiceless bilabial implosive stop consonant
ɔ,voiced rounded open-mid back vowel
ɔi,LATIN SMALL LETTER OPEN O and LATIN SMALL LETTER I
ɔo̯,LATIN SMALL LETTER OPEN O and LATIN SMALL LETTER O and COMBINING INVERTED BREVE BELOW
ɔõ̯,LATIN SMALL LETTER OPEN O and LATIN SMALL LETTER O and COMBINING INVERTED BREVE BELOW and COMBINING TILDE
ɔu,LATIN SMALL LETTER OPEN O and LATIN SMALL LETTER U
ɔy,LATIN SMALL LETTER OPEN O and LATIN SMALL LETTER Y
ɔə,LATIN SMALL LETTER OPEN O and LATIN SMALL LETTER SCHWA
ɔɛ,LATIN SMALL LETTER OPEN O and LATIN SMALL LETTER OPEN E
ɔɪ,LATIN SMALL LETTER OPEN O and LATIN LETTER SMALL CAPITAL I
ɔː,long voiced rounded open-mid back vowel
ɔˑ,half-long voiced rounded open-mid back vowel
ɔˤ,voiced pharyngealized rounded open-mid back vowel
ɔ̃,voiced nasalized rounded open-mid back vowel
ɔ̃ĩ,LATIN SMALL LETTER OPEN O and COMBINING TILDE and LATIN SMALL LETTER I and COMBINING TILDE
ɔ̃ː,long voiced nasalized rounded open-mid back vowel
ɔ̃ˤː,long voiced nasalized pharyngealized rounded open-mid back vowel
ɔ̆,extra-short voiced rounded open-mid back vowel
ɔ̘ː,long voiced advanced-tongue-root rounded open-mid back vowel
ɔ̙,voiced retracted-tongue-root rounded open-mid back vowel
ɔ̙ː,long voiced retracted-tongue-root rounded open-mid back vowel
ɔ̝,voiced raised rounded open-mid back vowel
ɔ̝ː,long voiced raised rounded open-mid back vowel
ɔ̤,breathy rounded open-mid back vowel
ɔ̤i̤,LATIN SMALL LETTER OPEN O and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER I and COMBINING DIAERESIS BELOW
ɔ̤ː,long breathy rounded open-mid back vowel
ɔ̤ˑ,half-long breathy rounded open-mid back vowel
ɔ̯,LATIN SMALL LETTER OPEN O and COMBINING INVERTED BREVE BELOW
ɔ̰,creaky rounded open-mid back vowel
ɔ̰ː,long creaky rounded open-mid back vowel
ɔ̰ˑ,half-long creaky rounded open-mid back vowel
ɕ,voiceless alveolo-palatal sibilant fricative consonant
ɕʼ,voiceless alveolo-palatal ejective fricative consonant
ɕː,long voiceless alveolo-palatal sibilant fricative consonant
ɕᶣ,voiceless labio-palatalized alveolo-palatal sibilant fricative consonant
ɖ,voiced retroflex stop consonant
ɖr,LATIN SMALL LETTER D WITH TAIL and LATIN SMALL LETTER R
ɖr̠,LATIN SMALL LETTER D WITH TAIL and LATIN SMALL LETTER R and COMBINING MINUS SIGN BELOW
ɖr̠͓,LATIN SMALL LETTER D WITH TAIL and LATIN SMALL LETTER R and COMBINING MINUS SIGN BELOW and COMBINING X BELOW
ɖɦ,LATIN SMALL LETTER D WITH TAIL and LATIN SMALL LETTER H WITH HOOK
ɖɽ,LATIN SMALL LETTER D WITH TAIL and LATIN SMALL LETTER R WITH TAIL
ɖʐ,voiced retroflex sibilant affricate consonant
ɖʐʷ,voiced labialized retroflex sibilant affricate consonant
ɖʱ,breathy retroflex stop consonant
ɖː,long voiced retroflex stop consonant
ɖ̤,breathy retroflex stop consonant
ɖ̤ː,long breathy retroflex stop consonant
ɖ̰,creaky retroflex stop consonant
ɖⁿ,LATIN SMALL LETTER D WITH TAIL and SUPERSCRIPT LATIN SMALL LETTER N
ɗ,voiced alveolar implosive stop consonant
ɗʒ,LATIN SMALL LETTER D WITH HOOK and LATIN SMALL LETTER EZH
ɗʱ,breathy alveolar implosive stop consonant
ɗʲ,voiced palatalized alveolar implosive stop consonant
ɗʷ,voiced labialized alveolar implosive stop consonant
ɗː,long voiced alveolar implosive stop consonant
ɗ̠,voiced retracted alveolar implosive stop consonant
ɗ̥,voiceless alveolar implosive stop consonant
ɗ̪,voiced dental alveolar implosive stop consonant
ɘ,voiced unrounded close-mid central vowel
ɘi,LATIN SMALL LETTER REVERSED E and LATIN SMALL LETTER I
ɘː,long voiced unrounded close-mid central vowel
ɘ̃,voiced nasalized unrounded close-mid central vowel
ɘ̃ː,long voiced nasalized unrounded close-mid central vowel
ə,voiced unrounded mid central vowel
əi,LATIN SMALL LETTER SCHWA and LATIN SMALL LETTER I
əu,LATIN SMALL LETTER SCHWA and LATIN SMALL LETTER U
əy,LATIN SMALL LETTER SCHWA and LATIN SMALL LETTER Y
əɨ̙,LATIN SMALL LETTER SCHWA and LATIN SMALL LETTER I WITH STROKE and COMBINING RIGHT TACK BELOW
