glyph,description
ẽ̞ĩ,LATIN SMALL LETTER E and COMBINING DOWN TACK BELOW and COMBINING TILDE and LATIN SMALL LETTER I and COMBINING TILDE
ẽ̞ũ,LATIN SMALL LETTER E and COMBINING DOWN TACK BELOW and COMBINING TILDE and LATIN SMALL LETTER U and COMBINING TILDE
ẽ̞ː,long voiced lowered nasalized unrounded close-mid front vowel
ĕ̞,extra-short voiced lowered unrounded close-mid front vowel
ë̞,voiced centralized unrounded close-mid front vowel
e̞̠,voiced retracted unrounded close-mid front vowel
e̞̥,voiceless lowered unrounded close-mid front vowel
e̞̰,creaky lowered unrounded close-mid front vowel
ẽ̞̰,creaky lowered nasalized unrounded close-mid front vowel
e̠,voiced retracted unrounded close-mid front vowel
e̤,breathy unrounded close-mid front vowel
e̤ː,long breathy unrounded close-mid front vowel
e̤ˑ,half-long breathy unrounded close-mid front vowel
e̥,voiceless unrounded close-mid front vowel
e̥ː,long voiceless unrounded close-mid front vowel
e̯,LATIN SMALL LETTER E and COMBINING INVERTED BREVE BELOW
ḛ,creaky unrounded close-mid front vowel
ḛː,long creaky unrounded close-mid front vowel
ḛˑ,half-long creaky unrounded close-mid front vowel
ḛ̃,creaky nasalized unrounded close-mid front vowel
f,voiceless labiodental fricative consonant
fɾ,LATIN SMALL LETTER F and LATIN SMALL LETTER R WITH FISHHOOK
fʃ,LATIN SMALL LETTER F and LATIN SMALL LETTER ESH
fʰ,aspirated voiceless labiodental fricative consonant
fʲ,voiceless palatalized labiodental fricative consonant
fʷ,voiceless labialized labiodental fricative consonant
fʷː,long voiceless labialized labiodental fricative consonant
fʼ,voiceless labiodental ejective fricative consonant
fː,long voiceless labiodental fricative consonant
f̰,creaky labiodental fricative consonant
f͈ː,long fortis voiceless labiodental fricative consonant
f͉,lenis voiceless labiodental fricative consonant
h,voiceless glottal fricative consonant
hv,LATIN SMALL LETTER H and LATIN SMALL LETTER V
hʲ,voiceless palatalized glottal fricative consonant
hʲʷ,voiceless palatalized labialized glottal fricative consonant
hʷ,voiceless labialized glottal fricative consonant
hʼ,LATIN SMALL LETTER H and MODIFIER LETTER APOSTROPHE
hˀ,voiceless glottalized glottal fricative consonant
hː,long voiceless glottal fricative consonant
h̃,voiceless nasalized glottal fricative consonant
hᶣ,voiceless labio-palatalized glottal fricative consonant
i,voiced unrounded close front vowel
