GlyphID,Phoneme,Count,Description,advancedTongueRoot,anterior,approximant,back,click,consonantal,constrictedGlottis,continuant,coronal,delayedRelease,distributed,dorsal,epilaryngealSource,fortis,front,high,labial,labiodental,lateral,long,low,loweredLarynxImplosive,nasal,periodicGlottalSource,raisedLarynxEjective,retractedTongueRoot,round,short,sonorant,spreadGlottis,stress,strident,syllabic,tap,tense,tone,trill
0061+0324+0075+0324,a̤ṳ,1,LATIN SMALL LETTER A and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER U and COMBINING DIAERESIS BELOW,-,0,+,-|+,0,-,-,+,-,0,0,+,-,0,-,-|+,-|+,-,-,-,+|-,-,-,+,-,-,+,-,+,+,-,0,+,-,+,0,-
0061+0324+026F+0324,a̤ɯ̤,1,LATIN SMALL LETTER A and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER TURNED M and COMBINING DIAERESIS BELOW,-,0,+,-|+,0,-,-,+,-,0,0,+,-,0,-,-|+,-,0,-,-,+|-,-,-,+,-,-,0,-,+,+,-,0,+,-,+,0,-
0061+0324+02D0,a̤ː,6,long breathy unrounded open front vowel,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,0,-,+,+,-,-,+,-,-,0,-,+,+,-,0,+,-,0,0,-
0061+0324+02D1,a̤ˑ,2,half-long breathy unrounded open front vowel,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,0,-,+,+,-,-,+,-,-,0,+,+,+,-,0,+,-,0,0,-
0061+0325,ḁ,1,voiceless unrounded open front vowel,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,0,-,-,+,-,-,-,-,-,0,-,+,+,-,0,+,-,0,0,-
0061+0330,a̰,22,creaky unrounded open front vowel,-,0,+,-,0,-,+,+,-,0,0,+,-,0,-,-,-,0,-,-,+,-,-,+,-,-,0,-,+,-,-,0,+,-,0,0,-
0061+0330+0069+0330,a̰ḭ,1,LATIN SMALL LETTER A and COMBINING TILDE BELOW and LATIN SMALL LETTER I and COMBINING TILDE BELOW,-,0,+,-,0,-,+,+,-,0,0,+,-,0,-|+,-|+,-,0,-,-,+|-,-,-,+,-,-,0,-,+,-,-,0,+,-,+,0,-
0061+0330+0075+0330,a̰ṵ,1,LATIN SMALL LETTER A and COMBINING TILDE BELOW and LATIN SMALL LETTER U and COMBINING TILDE BELOW,-,0,+,-|+,0,-,+,+,-,0,0,+,-,0,-,-|+,-|+,-,-,-,+|-,-,-,+,-,-,+,-,+,-,-,0,+,-,+,0,-
0061+0330+02D0,a̰ː,1,long creaky unrounded open front vowel,-,0,+,-,0,-,+,+,-,0,0,+,-,0,-,-,-,0,-,+,+,-,-,+,-,-,0,-,+,-,-,0,+,-,0,0,-
0061+0330+02D1,a̰ˑ,1,half-long creaky unrounded open front vowel,-,0,+,-,0,-,+,+,-,0,0,+,-,0,-,-,-,0,-,+,+,-,-,+,-,-,0,+,+,-,-,0,+,-,0,0,-
0061+1D31,aᴱ,1,LATIN SMALL LETTER A and MODIFIER LETTER CAPITAL E,-,0,+,-,0,-,-,+,-,0,0,+,+,0,-,-,-,0,-,-,+,-,-,+,-,-,0,-,+,+,-,0,+,-,0,0,-
0062,b,1533,voiced bilabial stop consonant,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,-,+,-,0,-,-,-,-,-,0,-,-,0,0,-
0062+0072,br,1,LATIN SMALL LETTER B and LATIN SMALL LETTER R,0,+,-|+,0,-,+,-,-|+,-|+,-,-,-,-,-,0,0,+|-,-,-,-,0,-,-,+,-,0,-,-,-|+,-,-,-,-,-,0,0,-|+
0062+0076,bv,21,voiced bilabial affricate consonant,0,0,-,0,-,+,-,-,-,+,0,-,-,-,0,0,+,+,-,-,0,-,-,+,-,0,-,-,-,-,-,0,-,-,0,0,-
0062+0076+02B7,bvʷ,1,voiced labialized bilabial affricate consonant,0,0,-,0,-,+,-,-,-,+,0,-,-,-,0,0,+,+,-,-,0,-,-,+,-,0,+,-,-,-,-,0,-,-,0,0,-
0062+007A,bz,3,LATIN SMALL LETTER B and LATIN SMALL LETTER Z,0,+,-,0,-,+,-,-|+,-|+,-|+,-,-,-,-,0,0,+|-,-,-,-,0,-,-,+,-,0,-,-,-,-,-,+,-,-,0,0,-
0062+007A+02B7,bzʷ,1,LATIN SMALL LETTER B and LATIN SMALL LETTER Z and MODIFIER LETTER SMALL W,0,+,-,0,-,+,-,-|+,-|+,-|+,-,-,-,-,0,0,+,-,-,-,0,-,-,+,-,0,+,-,-,-,-,+,-,-,0,0,-
0062+0261,bɡ,1,LATIN SMALL LETTER B and LATIN SMALL LETTER SCRIPT G,0,0,-,-,-,+,-,-,-,-,0,-|+,-,-,-,+,+|-,-,-,-,-,-,-,+,-,0,-,-,-,-,-,0,-,-,0,0,-
0062+0266,bɦ,1,LATIN SMALL LETTER B and LATIN SMALL LETTER H WITH HOOK,0,0,-,0,-,+|-,-,-|+,-,-|+,0,-,-,-,0,0,+|-,-,-,-,0,-,-,+,-,0,-,-,-,-|+,-,0,-,-,0,0,-
0062+027E,bɾ,1,LATIN SMALL LETTER B and LATIN SMALL LETTER R WITH FISHHOOK,0,+,-|+,0,-,+,-,-|+,-|+,-,-,-,-,-,0,0,+|-,-,-,-,0,-,-,+,-,0,-,-,-|+,-,-,-,-,-|+,0,0,-
0062+02B1,bʱ,13,breathy bilabial stop consonant,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,-,+,-,0,-,-,-,+,-,0,-,-,0,0,-
0062+02B2,bʲ,37,voiced palatalized bilabial stop consonant,0,0,-,+,-,+,-,-,-,-,0,+,-,-,+,+,+,-,-,-,-,-,-,+,-,0,-,-,-,-,-,0,-,-,0,0,-
0062+02B7,bʷ,54,voiced labialized bilabial stop consonant,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,-,+,-,0,+,-,-,-,-,0,-,-,0,0,-
0062+02BC,bʼ,1,LATIN SMALL LETTER B and MODIFIER LETTER APOSTROPHE,0,0,-,0,-,+,+,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,-,+,+,0,-,-,-,-,-,0,-,-,0,0,-
0062+02C0,bˀ,2,voiced glottalized bilabial stop consonant,0,0,-,0,-,+,+,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,-,+,-,0,-,-,-,-,-,0,-,-,0,0,-
0062+02D0,bː,52,long voiced bilabial stop consonant,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,+,0,-,-,+,-,0,-,-,-,-,-,0,-,-,0,0,-
0062+02D0+02B7,bːʷ,1,,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,+,0,-,-,+,-,0,+,-,-,-,-,0,-,-,0,0,-
0062+02D0+02E4,bːˤ,1,,-,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,+,0,-,-,+,-,+,-,-,-,-,-,0,-,-,0,0,-
0062+02E0,bˠ,1,voiced velarized bilabial stop consonant,0,0,-,+,-,+,-,-,-,-,0,+,-,-,-,+,+,-,-,-,-,-,-,+,-,0,-,-,-,-,-,0,-,-,0,0,-
0062+02E0+02B7,bˠʷ,2,,0,0,-,+,-,+,-,-,-,-,0,+,-,-,-,+,+,-,-,-,-,-,-,+,-,0,+,-,-,-,-,0,-,-,0,0,-
0062+02E4,bˤ,1,voiced pharyngealized bilabial stop consonant,-,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,-,+,-,+,-,-,-,-,-,0,-,-,0,0,-
0062+0303,b̃,5,voiced nasalized bilabial stop consonant,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,+,+,-,0,-,-,-,-,-,0,-,-,0,0,-
0062+0303+02B7,b̃ʷ,1,voiced nasalized labialized bilabial stop consonant,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,+,+,-,0,+,-,-,-,-,0,-,-,0,0,-
0062+0324,b̤,53,breathy bilabial stop consonant,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,-,+,-,0,-,-,-,+,-,0,-,-,0,0,-
0062+0324+0076+0324,b̤v̤,1,breathy labiodental affricate consonant,0,0,-,0,-,+,-,-,-,+,0,-,-,-,0,0,+,+,-,-,0,-,-,+,-,0,-,-,-,+,-,0,-,-,0,0,-
0062+0324+007A+0324,b̤z̤,1,LATIN SMALL LETTER B and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER Z and COMBINING DIAERESIS BELOW,0,+,-,0,-,+,-,-|+,-|+,-|+,-,-,-,-,0,0,+|-,-,-,-,0,-,-,+,-,0,-,-,-,+,-,+,-,-,0,0,-
0062+0324+02B2,b̤ʲ,2,breathy palatalized bilabial stop consonant,0,0,-,+,-,+,-,-,-,-,0,+,-,-,+,+,+,-,-,-,-,-,-,+,-,0,-,-,-,+,-,0,-,-,0,0,-
0062+0324+02D0,b̤ː,1,long breathy bilabial stop consonant,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,+,0,-,-,+,-,0,-,-,-,+,-,0,-,-,0,0,-
0062+0324+0325,b̤̥,2,voiceless bilabial stop consonant,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,-,-,-,0,-,-,-,+,-,0,-,-,0,0,-
0062+0329,b̩,1,syllabic voiced bilabial stop consonant,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,-,+,-,0,-,-,-,-,-,0,+,-,0,0,-
0062+032A,b̪,2,voiced labiodental stop consonant,0,+,-,0,-,+,-,-,-,-,+,-,-,-,0,0,+,-,-,-,0,-,-,+,-,0,-,-,-,-,-,0,-,-,0,0,-
0062+0330,b̰,23,creaky bilabial stop consonant,0,0,-,0,-,+,+,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,-,+,-,0,-,-,-,-,-,0,-,-,0,0,-
0062+033B,b̻,1,voiced laminal bilabial stop consonant,0,0,-,0,-,+,-,-,-,-,+,-,-,-,0,0,+,-,-,-,0,-,-,+,-,0,-,-,-,-,-,0,-,-,0,0,-
0062+0348,b͈,1,fortis voiced bilabial stop consonant,0,0,-,0,-,+,-,-,-,-,0,-,-,+,0,0,+,-,-,-,0,-,-,+,-,0,-,-,-,-,-,0,-,-,0,0,-
0062+0348+02D0,b͈ː,1,long fortis voiced bilabial stop consonant,0,0,-,0,-,+,-,-,-,-,0,-,-,+,0,0,+,-,-,+,0,-,-,+,-,0,-,-,-,-,-,0,-,-,0,0,-
0062+0349,b͉,1,lenis voiced bilabial stop consonant,0,0,-,0,-,+,-,-,-,-,0,-,-,-,0,0,+,-,-,-,0,-,-,+,-,0,-,-,-,-,-,0,-,-,0,0,-
0062+03B2,bβ,2,voiced bilabial affricate consonant,0,0,-,0,-,+,-,-,-,+,0,-,-,-,0,0,+,-,-,-,0,-,-,+,-,0,-,-,-,-,-,0,-,-,0,0,-
