GlyphID,Allophone,Count,Frequency
0065+0324,e̤,12,0.9231
0065+0324,ĕ̤,1,0.0769
0065+0324+02D0,e̤ː,5,1.0000
0065+0324+02D1,e̤ˑ,2,1.0000
0065+0325,e̥,1,1.0000
0065+0325+02D0,e̥ː,1,1.0000
0065+032F,e̯,3,0.6000
0065+032F,j,1,0.2000
0065+032F,ʝ,1,0.2000
0065+0330,ḛ,8,1.0000
0065+0330+02D0,ḛː,1,1.0000
0065+0330+02D1,ḛˑ,1,1.0000
0066,f,840,0.8705
0066,fʷ,23,0.0238
0066,v,23,0.0238
0066,fʲ,22,0.0228
0066,ɸ,17,0.0176
0066,fː,8,0.0083
0066,p,5,0.0052
0066,β,3,0.0031
0066,fˠ,3,0.0031
0066,f̃,2,0.0021
0066,fˑ,2,0.0021
0066,fʰ,1,0.0010
0066,ʄ,1,0.0010
0066,pfʼ,1,0.0010
0066,v͈,1,0.0010
0066,pɸ,1,0.0010
0066,pf,1,0.0010
0066,fˠʷ,1,0.0010
0066,fw,1,0.0010
0066,ɱf,1,0.0010
0066,hw,1,0.0010
0066,vʲ,1,0.0010
0066,fˤ,1,0.0010
0066,vʷ,1,0.0010
0066,ɸʷ,1,0.0010
0066,pʰ,1,0.0010
0066,w,1,0.0010
0066,p̪,1,0.0010
0066+027E,fɾ,1,1.0000
0066+0283,fʃ,1,1.0000
0066+02B0,fʰ,1,1.0000
0066+02B2,fʲ,17,1.0000
0066+02B7,fʷ,40,0.9524
0066+02B7,fɰ,1,0.0238
0066+02B7,ʃʲʷ,1,0.0238
0066+02BC,fʼ,2,1.0000
0066+02D0,fː,31,0.9394
0066+02D0,fːˤ,1,0.0303
0066+02D0,ɸː,1,0.0303
0066+02D0+02B7,fːʷ,1,0.5000
0066+02D0+02B7,fːˤʷ,1,0.5000
0066+0330,f̰,1,1.0000
0066+0348+02D0,f͈ː,1,1.0000
0066+0349,f͉,1,0.5000
0066+0349,v,1,0.5000
0068,h,834,0.8706
0068,x,28,0.0292
0068,ɦ,20,0.0209
0068,hʷ,10,0.0104
0068,h̃,8,0.0084
0068,ç,7,0.0073
0068,hʲ,6,0.0063
0068,ɸ,5,0.0052
0068,χ,4,0.0042
0068,ʔ,3,0.0031
0068,ɣ,3,0.0031
0068,m̥,2,0.0021
0068,f,2,0.0021
0068,n̥,2,0.0021
0068,s,2,0.0021
0068,x̟,2,0.0021
0068,ʃ,1,0.0010
0068,ŋ̥,1,0.0010
0068,ⁿh,1,0.0010
