ipa,occurences,consonant,vowel,mod_consonant,mod_vowel,click
t̪,53,1,0,0,0,0
ʄ,17,1,0,0,0,0
k^,2,1,0,0,0,0
ᵈt̪ˣ,1,1,0,0,0,0
tʰ,322,1,0,0,0,0
dˀ,5,1,0,0,0,0
ɟ̤,3,1,0,0,0,0
ᶢkʰ,2,1,0,0,0,0
pː,1,1,0,0,0,0
dʲ,8,1,0,0,0,0
ɡ^,2,1,0,0,0,0
ɡb,165,1,0,0,0,0
pʱ,1,1,0,0,0,0
ɡd,1,1,0,0,0,0
tˣˀ,2,1,0,0,0,0
kp,172,1,0,0,0,0
ⁿd,174,1,0,0,0,0
kt,1,1,0,0,0,0
ⁿḍ,7,1,0,0,0,0
ɗ̤,1,1,0,0,0,0
ᴺG,2,1,0,0,0,0
ḍˀ,1,1,0,0,0,0
qʰ,28,1,0,0,0,0
d̤̣,36,1,0,0,0,0
d̪,38,1,0,0,0,0
ɡːʷ,1,1,0,0,0,0
bˀ,2,1,0,0,0,0
ʔʷ,3,1,0,0,0,0
tː,3,1,0,0,0,0
qˀʷ,33,1,0,0,0,0
ⁿtʰ,1,1,0,0,0,0
ⁿt,2,1,0,0,0,0
pʰ,283,1,0,0,0,0
ᵑɡ,164,1,0,0,0,0
dˣ,1,1,0,0,0,0
ⁿdʲ,3,1,0,0,0,0
t̯,48,1,0,0,0,0
ɓ,138,1,0,0,0,0
d̰,1,1,0,0,0,0
ˀb,42,1,0,0,0,0
ɓ̤,1,1,0,0,0,0
ɟ,205,1,0,0,0,0
ˀd,22,1,0,0,0,0
kˀ,225,1,0,0,0,0
cˣ,7,1,0,0,0,0
ɡʷ,61,1,0,0,0,0
pˀkˣˀ,1,1,0,0,0,0
bʷ,7,1,0,0,0,0
ˀk,1,1,0,0,0,0
qᶛ,1,1,0,0,0,0
ʰd,1,1,0,0,0,0
ɗ̣,20,1,0,0,0,0
qʰʷ,3,1,0,0,0,0
ͫb,171,1,0,0,0,0
ᵑͫɡb,5,1,0,0,0,0
ˀp,1,1,0,0,0,0
ᵇpʰ,1,1,0,0,0,0
ʰk,3,1,0,0,0,0
t̪ᵚ,1,1,0,0,0,0
ˀt,2,1,0,0,0,0
tʲ,9,1,0,0,0,0
cˀ,13,1,0,0,0,0
tˀ,228,1,0,0,0,0
ṭ,222,1,0,0,0,0
ᵑkʷ,0,1,0,0,0,0
ʰp,3,1,0,0,0,0
d̤,49,1,0,0,0,0
ḍ̰,1,1,0,0,0,0
ʰt,3,1,0,0,0,0
ͫp,2,1,0,0,0,0
ͫbʷ,1,1,0,0,0,0
ˀɟ,3,1,0,0,0,0
b̰,1,1,0,0,0,0
d̯,21,1,0,0,0,0
ɠ,14,1,0,0,0,0
kʰ,310,1,0,0,0,0
b,1347,1,0,0,0,0
c,305,1,0,0,0,0
d,1310,1,0,0,0,0
kʰʷ,18,1,0,0,0,0
ⁿ̃ɟ,20,1,0,0,0,0
ʔʰ,1,1,0,0,0,0
ˀd̪,1,1,0,0,0,0
k,2032,1,0,0,0,0
tp,0,1,0,0,0,0
ɠ̤,1,1,0,0,0,0
tˣ,13,1,0,0,0,0
b̤,47,1,0,0,0,0
